edge_nodes,edge_id,random_value
260;29190;15;20368;17;21;1178;549;299;49;179;52;55;313;449;67;457;74;353;622;2160;25978,29145,6.028860479712269
160;5056;2;580;9;2379;172;47;18;20;22;56;2458;60;126;959,5011,3.1664162701278054
1281;2;4;14;17;20;164;13989;18344;48;49;199;205;86;94;737;111;239;509,18299,8.342538747803054
0;128;132;11;402;5412;300;47;55;57;189;61;1226;81;340;2921;236;109;114;12792,12747,0.7872975601118837
2;100;4;5;1929;1610;11274;10092;13;46;17;19;20;53;2009;58;60,11229,0.030834664538023082
1;2;3;7;8;15;17;18;19;20881;541;163;55;951;63;69;72;14935;15465;108,20836,7.1399262689597185
2;4;13;14;16;400;18;402;21;1575;50;190;64;4289;84;4057;8037;8936;1137,8891,1.7589280913827665
352;228;5;551;7083;12;13;47;16;17;18;49;13748;17521;119;666;17374;63,17476,0.6559384499720222
0;323;3;708;4;71;776;553;135;13;47;25104;52;4597;86;2196;57;60,25059,3.6935353256612657
0;65;64;6;9257;3309;12302;15;17;18;115;114;21;409;154;7420;125;94,12257,6.871671723851889
64;1;2;9;47;16;48;50;17;20;180;22;49;400;59;94,355,6.816963431707173
0;65;3554;3;2;552;9;10;5514;299;15;2544;18;61;58;11997;94;1599,11952,7.579710312128559
160;65;1;99;0;22464;7;10;15;17;49;52;22;185;2651;190,22419,2.087772873048638
995;1479;8;9;7;12;17;50;20;756;21;55;52;153,1434,1.598262612159782
4;6;11;13;1549;11022;18;150;797;4009;3884;46;50;52;55;3257;829;7249;85;860;114;1780;249,10977,8.199196572841775
65;3654;170;1834;12;3057;63;19;182;22;1500;1564;959,3609,7.3212530705748975
3;138;139;12;6030;16;18;19;21;28960;166;48;50;2364;62;69;70;94;3824;882;118;12664,28915,2.594536990863572
0;1;223;4;70;72;75;12;812;11;4685;47;53;21;249;58;18942;63,18897,6.408747121348005
0;3;17669;613;712;10;138;396;429;84;85;20;500;22;1882;94,17624,8.173901411793334
0;3;4;17795;6;520;12;13;15;20;22;153;46;6069;60;69;74;85;8282;860;94;744;106;1266,17750,4.159414281131474
11841;2;4;69;132;7;9;106;12;13;236;108;21;117;223,11796,9.991326215153892
3;7;10;16;659;21;49;55;15804;9534;64;65;69;11975;1489;26850;1767;4080;125,26805,9.662065310423781
6402;2;5;9;16075;12;1485;11;49;114;19;371;19633;6486;247;91;61,19588,4.8241318525842445
3072;0;544;3;285;1286;7;8;10;14;46;1584;49;82;239;22;4122;4925,4880,5.237361823667539
0;4;5;6;9;17;15645;48;52;187;190;62;74;210;7762;85;7528;108;242;23027,22982,0.7655877128342736
128;1;2;5;21514;139;18063;16;19;288;1449;172;941;48;2099;55;72;852;94;232,21469,9.357962346849611
64;4;69;8;9;2028;12;81;50;19;3315;53;22;55;9363,9318,3.7196087432458427
416;1;64;4;8;10;174;49;18;82;25396;1717;86;21;61,25351,3.936271252736411
0;2;13;15;20;21;12444;46;1454;50;3639;18620;70;1865;338;7261;3551;488;233;249,18575,0.34835332123291374
65;4;69;5;6;75;12;555;46;16;17;50;19;48;53;278;60;509,510,3.6598568667370577
0;129;64;121;4;69;457;15;80;926;213;149;117;94;125;28510,28465,2.583510056185907
5252;12;16;3473;18;24084;22;289;11428;421;2733;3759;48;2874;76;10464;109;367;1904;19965,24039,7.318576280822235
66;4;5;6;7;8;4648;11206;3819;9;28328;25358;175;19;20;214;58;63,28283,9.367062843405302
0;1;69;5;872;109;14;5807;23697;658;19;52;85;344;221;59;3997;5565,23652,3.0674777957020014
65;2;4;5;1253;103;9;76;109;12;15;50;8628;9269;22;86;406,9224,0.09616984905051362
1;3;5;7;8;10;12;14;16;17;19;22;166;49;51;55;74;469;106;2289,2244,7.078932638795827
0;6;7;137;138;141;20;21;48;50;59;5563;446;6209;66;198;86;114;1653;1918,6164,1.8985140089317054
65;99;3;131;1305;8360;458;5387;14491;141;14;21;53;5527;377;13915;16859;9372,16814,3.182111398088617
161;770;13796;4;8;137;10;363;11;13;19;84;149;310;374;4376;53;151,13751,7.13740405011277
1;162;5;12;2125;3438;13;1498;50;20;309;52;6647;85;3130;190;3103,6602,1.9927727923781369
3;100;69;294;6;8;11;47;15;50;562;20;53;55;88;17020,16975,1.6367361841108952
1;4198;583;3016;7303;71;15242;10;13;22;55;280;58;23835;60;10141;3711,23790,2.1727418360997652
0;2;3;4;5;6632;9;781;26641;55;13497;1242;671,26596,5.855345273042277
3;7;10;15;1041;19;277;161;22438;49;957;190;3777;836;20037;80;94;103;2664;28275;117;1912,28230,8.414676669944589
3;5;10;14;21;22;49;58;60;2238;2494;63;66;69;7634;84;340;3797;98;29036;2423,28991,3.96352066320806
0;19105;2;764;8;10;1071;48;49;20;22;407;3382;58;60,19060,3.29520164401645
3;7;9;10;139;14;273;18;19;1683;15265;164;3751;1324;567;65;5188;1989;6346;85,15220,5.875751673442679
2;5;6;14;18;19;20;170;49;52;55;60;27203;70;3550;353;1123;102;2544;113;249,27158,4.005438255120371
66;3;18661;167;427;11;10859;46;12;16;17;14;882;21874;511;1918;6623,21829,8.827560126452134
2;13858;164;4;198;134;7;9;1706;69;13;17;274;11094;5015;8925;63,13813,6.621418170284774
1;2;4;74;106;5131;13;174;46;79;14;146;51;563;53;22;9495;62,9450,0.7071395561674487
129;7;11;12;13;17;21;671;48;49;51;55;58;6333;1352;213;85;3420;482,6288,2.4891983598430056
0;65;229;70;10;11;12;49;50;21;22;1045;56;58,1000,1.5495842513620584
103;616;3017;10;138;652;558;15;9264;16;18;12593;53;10741;55;1148;95,12548,1.4608806861697365
1;2;5;6;7;8;138;140;14;3089;402;19;21;22;285;60;64;4290;75;3932;250,4245,8.516241876274863
385;2;1;6;141;14;20;22;13085;49;51;181;1335;64;69;71;84;341;4839;106;119,13040,6.528252503492851
1;6562;3;164;68;70;19970;776;1769;49;146;11442;20;52;84;55;21,19925,6.232499185955618
65;1;2;1349;6;7;12;146;20;21;22;247;149;153;379;414;63,1304,4.742275092483988
3;10;12;431;4368;6065;369;22258;84;21;278;693;3065;155;5245,22213,9.175188196139763
1984;1;9;10;5739;12;1929;14;3887;48;81;49;1807;21;1301;6230;125;126,6185,4.62446385918665
0;1;2;3;1153;9;12;13;16;17;22;153;676;429;190;69;331;80;85;99;355;19178;110;767,19133,1.4684125227726652
5;7;520;9;10;2234;12;13;46;3855;2416;17;21;2168;58;62,3810,4.355141179426685
0;1;2;3;4;5;14;15;21;22;175;434;50;51;11060;4428;85;214;355;249,11015,4.8545659474307765
0;6;7;11;15;289;49;51;190;62;64;8387;94;5222;359;13030;2282;111;114;124,12985,7.632227442812972
1;355;2023;7;47;48;18;19;372;725;21;50;55;247;1535,1978,5.421315577748745
1;8193;5;6;138;18;1554;20;11674;50;185;60;62;70;94;4191;2016;1119;105;759,11629,0.6555480970264027
0;129;2690;2;261;6;10;11;2207;13606;300;558;52;58;190;80;16208;86;3692;620;248,16163,6.741722960357903
6;7;17;916;22;918;2978;164;21671;817;5940;58;571;75;27219;84;341;86;93;94,27174,4.835810293726591
1;2;4;5;7;8;10;16;18;21;409;46;55;81;85;86;94;254;19327,19282,0.40296529118751256
3;8;5390;14;16;17;19;21;29976;53;54;64;70;15944;334;858;91;235;21245,29931,9.299645548067422
1;2;3;7;16;18;280;2328;20893;1449;2474;555;1454;3886;17585;71;9927;78;86;2423;4859,20848,6.640312796627793
0;384;2;579;4;18787;19557;1868;76;6030;47;398;49;12;83;9011;28912;22,28867,6.5574394220474215
64;1;0;4;7;9;13;686;46;16;17;48;19;1972;53;150;13656;477,13611,4.275382253701638
0;1;2;9;12;13;14;16;21;7323;288;49;51;79;82;85;100;106;375;636,7278,9.344939590196693
288;0;64;163;3;358;72;13;10509;48;50;21;11222;55;345;3287;59;60,11177,7.6005730850322735
1;3;1923;5;8;10;13;783;16;49;310;63;72;21577;342;10336;99;1515;113;381,21532,3.040652890745913
0;1;12;13;15;17;21;1698;10530;52;180;313;3388;1857;200;841;4067;102;236;6384,10485,3.9086865613268227
64;4;613;70;266;11;109;46;47;80;17808;114;18;53;22;13079;1079;3642,17763,1.4315930675614785
1;3;11;13;15;17;20626;20;21;1814;287;929;8741;7723;300;50;692;53;70;114,20581,0.5647367471653064
1;2;642;67;3;1921;8;9;554;12;13;15;48;16;18;434;20;49,1876,5.587960218326007
2;14;19;27682;2088;48;50;434;18869;63;65;583;2124;16973;85;91;21597;109;7928;3323,27637,2.859390420856803
130;3;163;13573;23014;7;72;233;17855;12;3502;1967;49;21;56;5503,22969,0.546819268628822
96;0;5284;6;13;14;47;48;16;18;19;52;6128;55;4889;60;94,6083,0.4619502162846667
4;5;8;137;11;13;14;17;21;918;294;552;947;1850;2001;86;863;3044;875;3441;114,3396,8.958235231293411
1;129;67;4;3175;8;616;907;12;4205;46;27342;209;19;117;2427;6748,27297,2.318112852625257
4;8;25485;16;18;21;22;3369;64;14915;196;850;4308;9054;863;97;493;244;892,25440,9.596010537489153
0;4;6;18;22;153;1053;8226;52;61;189;203;204;850;339;1621;86;218;3420;94;1123;19944,19899,6.70186926766715
1057;20579;4;7;8;104;6472;1480;396;12;48;18;58;17499;220;62;63,20534,9.795178519276043
7;139;18191;17;276;660;4131;47;49;50;51;1205;55;58;63;17600;66;6610;85;7511;1135,18146,5.050866126484822
2;3;14;15;18;788;20;294;48;176;570;58;65;69;458;11730;85;725;108;111,11685,7.758440011793176
64;129;4;5;9;110;17;82;19;116;49;55;94;4314;2045;638;447,4269,6.434046687334928
259;16645;5;134;11;12;15;2084;24872;20908;50;55;62;65;1217;4805;69;488;379,24827,6.648282335986674
0;3;100;4;6;11;75;13;46;15;48;49;17;19;18;21;59;62,55,1.2425391575679245
65;4;6;8;106;11;12944;49;18;52;21;150;3510;56;249;58;94,12899,9.586141419730321
416;1;354;3;2052;6;10;12;13;46;110;48;11246;51;20;213;21;219,11201,2.1418696717115826
4;5;8;2825;776;7692;12;15;17;19;295;46;50;53;59;8127;29386;99;239;14205,29341,6.6794124375848725
0;1;6663;12;14;1808;17;16;21;46;53;310;951;60;80;224;97;99;109,6618,0.7042111645436366
130;3;777;138;11;12;9;16;28180;152;50;55;61;26305;65;2369;75;483;100;103,28135,6.392090111769889
0;4;6;8;10;13;15;16;18;21;22;281;49;312;56;64;73;105;109,267,6.774860497380652
99;7;8;104;12;15;17;19;85;22;247;24086;828;6750;63,24041,9.273838277586174
3;8;12;17;785;1300;20;418;46;8507;828;63;67;1740;23504;87;100;3054;4213,23459,3.166277027148181
0;1;66;4;70;1798;6;73;10;11;2062;560;17;16;18;20;28082,28037,9.5629163081478
0;65;100;70;7;669;555;12;13;46;14;17;145;18;436;55;3545;189,3500,7.348053137467487
0;132;5;7;10;12;13;15;16;1553;2447;21;168;1967;51;56;65;230;1771;2165,2402,4.313125464032889
1;2;7;12;272;17;21;22;277;2330;1706;58;17469;449;26692;3015;73;1353;86;100;11760,26647,6.154696872328783
0;1;2;4;6;7;11;13;48;17;18;49;19;57,12,9.600358130236721
4;8;2314;10;15;18;21;1567;48;49;50;53;55;3771;1736;10698;82;1248;127,10653,7.536578521450155
1;3;99;7;8;649;75;12;140;60;17;18;53;22;87;58;700;63,655,5.410344519226279
416;1;17474;25442;261;103;680;744;8;11;46;79;16;18;51;20628;59;61,25397,8.298475176901649
1;3;132;4;4489;11;13;14;15;17;18;285;2207;172;2992;49;3895;60;80;91;106,4444,2.4203239785176622
4;10;17;21;22;278;290;681;47;434;55;58;60;62;319;197;847;339;26587;229;111;114,26542,7.796031047437566
0;2;5242;12;16;18;676;167;1451;300;1589;3134;66;70;82;85;18659;2286;4849;114;250,18614,0.7997522369503829
0;129;25665;99;185;19750;313;14;17;50;242;21;55;856;153;58;60,25620,4.289427055522293
129;3;4;1412;5;8;12;3600;18;547;1327;49;58;63;65;69;198;84;86;346;94;744;11130;510,11085,9.73536577511805
352;10177;2;0;5;20645;10;13;112;7217;787;51;20;22;56;5437;382,20600,4.155174765661486
3;4;9;19;151;1181;160;163;10411;46;47;52;29237;828;61;71;226;623;121;2554;379,29192,2.856520207398223
1;418;257;100;838;7;8;6;490;486;12;14;15;815;19;52;10620;1085,10575,9.013553800326331
0;2561;5;8;12;272;16;19;278;21279;290;431;50;19636;65;456;726;99;106;2291,21234,5.098669081232213
64;5825;27457;3;99;11;13;3662;49;20;9142;56;185;60;61;62,27412,3.519663371206363
0;2305;96;5;6;69;8;76;12;13;47;48;80;46;21;2590,2545,0.4219665363681768
3;132;5;8;15;16;20;550;46;50;6720;66;196;73;1225;11218;725;1110;88;2527;5220;111,11173,1.9065395601946744
64;0;1;8067;65;4;70;614;14053;1261;46;850;18;21;60;125,14008,6.62477972602554
0;1;2;263;8;14;16;17;20;14123;53;63;70;87;5976;3160;1375;1253;6381;122;767,14078,4.659511232583231
64;7141;5;8;9;72;4555;13;16;17;114;19;7259,7214,4.808939105387791
0;8193;3;7;8;11;12;14;18;21;280;7200;162;3107;46;47;62;64;69;214;99;895,8148,4.653157609036944
1;2;5;550;4261;3528;5739;15;16;2224;50;19;17;21;18;20337;14779;1343,20292,6.250384010710358
1;1442;2;4;6;8;72;138;14;5839;80;60;18;1532;1268;58;10876,10831,3.6159585292790517
0;8;9;138;12;21;17709;1462;56;58;59;62;19656;726;88;345;2662;239;113,19611,0.3204993782825871
19338;10;12;15;17;20256;46;50;58;4410;62;3009;66;70;713;14029;26214;359;375;889,26169,9.876086158986162
129;6722;3;5764;5;198;70;615;7;77;14;80;19;21;55;249;348,6677,3.2313778149204273
1;2;4;138;21;22;297;4138;47;566;55;61;62;72;21966;79;10463;110;500,21921,0.43580894380131574
0;5;7;9;11;13;2318;15;19;166;23597;46;175;3893;55;6072;58;85;95;636,23552,9.668177718480646
0;385;3;4;5;11;13;5274;154;3619;46;50;55;59;19263;69;1230;80;84;2135;601;8671;24550,24505,1.4170678025196215
96;0;22756;5;8;12;12652;14;48;114;61;85;86;55;122;253;94;63,22711,9.626740383789047
128;0;66;2;7;173;14;558;80;7439;19;20;21;6135;58;927,7394,2.6402776286845677
1;3;1286;9;15;18;19;1555;21;22;291;48;50;435;54;60;1872;80;99;228;106;3833;10236,10191,4.15197748978406
3;6;12;2846;46;55;61;959;11332;69;4934;211;86;4825;91;867;102;233;1023,11287,9.084841386714169
2;3;9;10;14;15;17;18;19;147;21;2713;154;3740;47;58;59;72;96;1131,3695,2.74847257188789
1;8;12;655;4376;50;23348;56;2745;1216;65;75;86;219;91;99;620;9709;500,23303,9.600284042073273
97;1;6;486;9;10;11465;702;173;13;49;19;20;83;86;55;60;126,11420,5.185218868416438
6721;1;98;4;5;1766;191;300;1229;14;111;46;145;18;80;21;88;927,6676,6.424609458257552
512;129;1;69;9;170;10;46;15;16;1520;82;500;20;2038;8698;702,8653,9.891155615776201
0;4;5;6;10;13;14;21;22;18983;46;47;48;49;52;20283;66;74;76;84;94;746,20238,2.0908860731929693
4;5;7;10;11;16;17;274;19;180;48;22;153;60;1981;4830;3871,4785,1.4467493915651275
4;70;12551;1865;10;9;108;14;7185;83;692;21;51;119;5560;5977;60,12506,9.766601890769856
736;97;24197;6;22763;108;8972;47;10608;18;402;21;22;87;730;570;702;63,24152,3.596786530686108
21505;5;7;10;12;12051;4513;46;49;51;17974;60;27454;63;69;210;82;85;474;94;3569,27409,0.13810866011290335
64;129;26071;294;102;6;9;7433;11;46;17;50;19;115;26199;536;10874;63,26154,3.7661111831365544
0;1922;9;399;20;21;920;1181;48;50;55;313;12351;63;2253;94;865;628;117;9337,12306,3.6245136834951586
0;4;6;10;11;12;13;21;22;559;52;56;60;86;608;4962;103;114;247;3320,4917,5.698855683491999
4;69;70;2315;13292;3693;299;526;48;76;18;19;51;109;2774;22870,22825,9.232037503111094
65;2;3;58;5;11;12;13;46;47;19;52;21;2170;60,2125,0.8841751638978346
6080;99;3;228;5;3495;69;75;11;13;1073;17;19;52;22;249;91;94,6035,3.3800355325009313
160;97;9412;5064;137;300;76;8687;17;18;21;4022;86;117;249;28726;125,28681,5.939717674252728
160;2;8741;8;2664;11304;12;141;46;1935;48;13;19;853;4598;60;94,11259,4.668642067298061
97;865;3;4;69;7;12;4462;15;79;274;19;339;53;22;55;190,4417,4.936257854217212
