id,source,target
186,9361,2793
187,4135,2183
188,6856,3878
189,6161,7950
190,4534,8814
191,8630,886
192,3663,3926
193,6329,5093
194,4771,529
195,4871,945
196,9810,6738
197,6674,6528
198,2839,3776
199,8291,4147
200,1518,3477
201,5108,3912
202,7911,2293
203,5721,4123
204,4479,7050
205,3589,922
206,5526,4787
207,2216,9537
208,9954,5062
209,5421,9753
210,4871,7862
211,3655,9766
212,863,7905
213,8832,9970
214,3448,2410
215,8919,3123
216,8808,138
217,5231,8729
218,2439,6488
219,9520,1414
220,7498,3570
221,4786,9059
222,1173,6589
223,6515,5177
224,8913,6147
225,1988,1905
226,2099,9428
227,2365,1535
228,3494,4364
229,9812,8111
230,7365,9071
231,6244,6720
232,2284,4116
233,2170,100
234,7626,2048
235,629,1360
236,9861,9803
237,7274,2427
238,653,8014
239,7516,3867
240,9739,6837
241,1258,2956
242,1316,1666
243,3943,3013
244,8481,1514
245,1297,6498
246,606,8115
247,8510,6299
248,7447,8389
249,6496,5328
250,8493,4237
251,74,2210
252,6517,3575
253,9661,3477
254,5526,9463
255,9269,5669
256,407,9681
257,4185,7122
258,2588,9244
259,208,4595
260,8200,156
261,9554,932
262,2019,4003
263,408,6614
264,7501,1863
265,992,7586
266,7131,5432
267,9521,4169
268,3030,7331
269,6567,9900
270,2187,675
271,5424,5371
272,8221,8845
273,9366,4113
274,9381,6587
275,6516,4783
276,44,8277
277,980,5742
278,1965,6445
279,1911,9214
280,748,6788
281,182,8175
282,4711,6596
283,1016,54
284,6254,3196
285,9594,3353
286,8634,3582
287,541,9519
288,9444,7911
289,5788,3219
290,94,1690
291,3504,9558
292,8846,6357
293,4322,3897
294,9611,5133
295,6227,7841
296,6994,5499
297,8243,1964
298,8149,297
299,8793,1556
300,6222,4185
301,8803,1685
302,8594,1526
303,2246,9198
304,7282,7586
305,857,6686
306,1646,1507
307,9366,6129
308,1458,488
309,1010,157
310,4628,3619
311,8218,3531
312,1165,8343
313,7391,9724
314,3838,9639
315,2114,6097
316,2584,3933
317,9668,4968
318,1951,4723
319,1064,247
320,6304,8250
321,1573,2205
322,5951,6452
323,6674,7356
324,9074,9179
325,6450,7183
326,6743,3039
327,2408,9921
328,987,7537
329,4396,1494
330,3589,4270
331,7190,1708
332,5403,4768
333,9024,5522
334,7793,5661
335,9645,1175
336,7871,5958
337,9934,2134
338,2049,4466
339,8794,8456
340,9499,3822
341,9139,1887
342,4390,5475
343,195,2529
344,4822,5229
345,9605,1782
346,7995,3023
347,7084,9573
348,9366,3876
349,7747,9618
350,7552,9083
351,5846,937
352,1281,4454
353,9314,1816
354,9922,5111
355,4473,2975
356,866,5381
357,8931,9762
358,3849,3896
359,63,7977
360,8383,5207
361,9384,7313
362,3668,6784
363,2582,4231
364,3941,5216
365,3868,1964
366,9718,6923
367,2049,9963
368,5543,7261
369,8367,598
370,2915,4476
371,980,727
372,9663,6356
373,6433,276
374,5215,4694
375,1890,8056
376,2703,9113
377,8084,1754
378,7341,7361
379,9366,4733
380,6442,4053
381,520,292
382,3686,8414
383,9645,3806
384,9283,14
385,2796,9242
386,6419,4404
387,6229,23
388,2702,5507
389,8410,2989
390,8610,7275
391,7881,3085
392,1518,5299
393,6556,7061
394,3772,8617
395,4657,894
396,3697,2723
397,640,1740
398,3060,7036
399,7861,5400
400,4566,7712
401,15,4937
402,9630,9200
403,3646,7856
404,9721,1508
405,4231,8533
406,6738,871
407,9109,7407
408,7972,6287
409,2190,2119
410,2285,9931
411,2926,398
412,6641,8280
413,9417,2552
414,150,481
415,9416,796
416,9889,7345
417,5620,289
418,4871,9514
419,3876,2710
420,1947,9734
421,9030,426
422,1923,2179
423,5613,4781
424,63,7572
425,8687,8961
426,9031,4458
427,4707,5989
428,7575,1824
429,6607,6427
430,2285,8307
431,3169,9381
432,6794,3857
433,1482,4345
434,7391,9638
435,2796,243
436,7074,2459
437,433,9656
438,2827,3987
439,9654,1713
440,7776,1651
441,3976,3226
442,4782,8508
443,3947,5153
444,4987,604
445,9764,3360
446,4463,1083
447,8854,5199
448,505,6830
449,6997,6994
450,6496,4957
451,1295,1947
452,5526,3099
453,9785,7136
454,5119,497
455,6439,6326
456,4047,1506
457,9997,7850
458,9366,1000
459,5613,3255
460,68,4289
461,1126,7716
462,2462,304
463,975,8221
464,7042,8431
465,7366,5390
466,2049,1786
467,521,8824
468,3438,6890
469,9653,658
470,9488,4740
471,8132,5101
472,2337,6863
473,1025,8299
474,5069,7138
475,63,9658
476,6222,6743
477,2214,1501
478,4313,5867
479,9064,7134
480,9520,4655
481,9028,9630
482,1279,3058
483,2822,6108
484,5330,736
485,1024,4077
486,2915,1078
487,2006,585
488,4444,354
489,694,5898
490,4881,6833
491,6668,3864
492,2807,2742
493,2285,9337
494,4396,4442
495,1115,4369
496,1276,1871
497,980,3062
498,8410,6377
499,3437,5031
500,1591,3429
501,3918,2524
502,2442,2878
503,9466,9498
504,6222,6496
505,4120,5496
506,4707,918
507,4390,338
508,1827,9274
509,4761,2533
510,6594,7824
511,7409,263
512,2915,2768
513,1024,3010
514,9286,986
515,315,387
516,8584,7588
517,5019,7578
518,6544,4378
519,1518,943
520,2216,7767
521,2442,9425
522,9210,6197
523,1207,4659
524,8160,9115
525,3596,3358
526,2308,2813
527,4084,8697
528,5046,3600
529,5119,7581
530,5727,4574
531,2285,860
532,5399,8016
533,8802,2182
534,4418,3299
535,4596,941
536,3085,2121
537,3527,4624
538,1419,702
539,5571,8769
540,4974,8014
541,3209,7025
542,2915,9376
543,5133,7326
544,6036,9143
545,6519,8871
546,980,6365
547,4589,8044
548,8376,2685
549,5305,7429
550,9918,9871
551,1960,8118
552,4651,2333
553,2825,1926
554,8315,6292
555,2502,2128
556,3756,4242
557,8761,5760
558,7259,8763
559,7191,7455
560,9768,3831
561,5137,5438
562,6222,3399
563,4185,2133
564,5946,2623
565,9361,5659
566,5697,9729
567,8161,291
568,2709,826
569,2306,4106
570,4933,578
571,1734,1866
572,3477,5739
573,1375,2577
574,4396,1736
575,259,4221
576,6227,1952
577,3200,44
578,4695,948
579,6222,5840
580,4871,4657
581,510,1647
582,6718,7667
583,1557,7715
584,9435,2745
585,6384,3526
586,9594,74
587,1309,7394
588,6556,5825
589,8761,3514
590,4463,1791
591,3554,6957
592,9108,3855
593,6435,7385
594,6988,8100
595,7074,2893
596,106,1130
597,8610,3596
598,638,6112
599,9366,8820
600,1024,1558
601,6086,8471
602,3697,1969
603,9443,3589
604,5104,275
605,8411,6915
606,8634,2303
607,749,5909
608,9419,2574
609,5199,5541
610,6347,4184
611,3688,4330
612,2190,1232
613,5218,7578
614,5327,556
615,2502,6528
616,8647,610
617,8630,4664
618,3896,5350
619,8944,7107
620,4322,5764
621,5935,524
622,7884,6783
623,3531,3014
624,6798,4813
625,6726,3457
626,3686,8339
627,21,4411
628,7447,9662
629,1186,4444
630,2074,468
631,6917,9356
632,9028,8851
633,5137,573
634,4733,5967
635,5742,940
636,5613,8391
637,4473,9007
638,5619,5622
639,8193,9934
640,5436,9128
641,2140,927
642,2494,1887
643,4036,5455
644,7748,6358
645,415,2399
646,3932,6983
647,936,6712
648,9430,9048
649,8381,7490
650,6407,6121
651,2044,3199
652,9645,1897
653,8575,5656
654,5920,4307
655,2822,8065
656,5671,3041
657,15,9520
658,3953,6140
659,1263,7333
660,4072,5706
661,8683,5239
662,606,7469
663,5137,9665
664,4871,3711
665,5946,9851
666,9668,8498
667,6624,1971
668,9206,3194
669,6743,6965
670,9366,2717
671,171,2911
672,9139,2170
673,3579,3066
674,9417,3321
675,6838,6282
676,1053,180
677,9865,2438
678,987,2568
679,5218,714
680,7795,9108
681,8634,4550
682,7685,4524
683,5759,1760
684,1865,186
685,2299,5358
686,944,3871
687,3547,6407
688,9922,6717
689,6417,2048
690,2915,3289
691,5918,6891
692,5942,6862
693,9424,9330
694,6215,9033
695,3533,9883
696,8416,7970
697,5695,7213
698,5526,1218
699,2936,8108
700,3900,4175
701,1871,6334
702,305,1613
703,496,5256
704,1073,6068
705,9366,6023
706,6180,3759
707,6519,8253
708,944,4127
709,8371,4456
710,1970,6518
711,731,9153
712,9030,115
713,8084,5805
714,9005,3486
715,7428,4986
716,5467,2204
717,63,4295
718,6413,4728
719,4516,5641
720,4955,6260
721,7510,4427
722,4974,3413
723,6286,4958
724,4028,1896
725,7238,294
726,7902,6696
727,616,8670
728,1947,9655
729,1159,9669
730,4260,7001
731,1501,4747
732,7917,3967
733,5084,131
734,8976,5009
735,4035,3890
736,1480,9706
737,5019,4365
738,9030,5058
739,7600,6396
740,7732,7019
741,2242,2867
742,6211,4381
743,8390,972
744,3533,6693
745,5083,3803
746,9880,5468
747,5609,5404
748,2711,6119
749,505,6853
750,208,9968
751,2624,224
752,2128,6568
753,2947,732
754,7492,6558
755,5940,8133
756,4106,2973
757,4074,6899
758,5830,7045
759,687,4785
760,2933,8323
761,9644,5694
762,5165,5972
763,5133,9906
764,9139,2604
765,4468,66
766,4028,1999
767,731,9034
768,9655,1743
769,2285,5228
770,6241,4301
771,9139,2090
772,8442,2633
773,241,4695
774,9038,5949
775,2335,8292
776,7581,163
777,6085,3319
778,2703,4614
779,4040,6144
780,8161,4232
781,9880,248
782,6212,6110
783,3618,1553
784,9864,8911
785,1494,9687
786,8330,3829
787,6642,3735
788,943,2178
789,509,1698
790,1811,8963
791,6206,8738
792,9005,9197
793,7413,1503
794,9922,4864
795,5557,8875
796,1202,6907
797,5671,2435
798,2177,5676
799,8700,5474
800,1000,8878
801,3184,4038
802,6978,9184
803,7214,7762
804,9448,3415
805,4582,8503
806,4511,6242
807,201,5431
808,9615,4797
809,4170,3571
810,7033,207
811,4062,2266
812,7793,9127
813,7510,9836
814,8610,5744
815,7695,3653
816,9417,5611
817,2907,5043
818,8345,2406
819,8210,8214
820,9605,5212
821,2399,5797
822,5971,4366
823,8744,9260
824,8367,3531
825,4672,7758
826,4438,8547
827,5236,6309
828,2049,8889
829,15,9034
830,4803,6274
831,246,6284
832,7763,6198
833,7444,1603
834,749,2424
835,2064,6346
836,6525,4337
837,5072,7443
838,1960,5918
839,2531,217
840,5154,2301
841,4549,3191
842,2142,6225
843,7449,43
844,1794,880
845,3817,4428
846,5000,5769
847,5552,1177
848,369,6772
849,6039,4475
850,7955,7637
851,1295,4299
852,9616,1912
853,1222,6312
854,4463,1350
855,5436,2352
856,5693,7836
857,3512,3613
858,2285,2486
859,5773,6258
860,5886,9516
861,7218,8085
862,3663,7118
863,4680,8460
864,5355,1111
865,3840,5190
866,4871,9412
867,3863,9378
868,7793,7593
869,731,5394
870,1257,5788
871,4047,760
872,651,4839
873,602,7890
874,4543,3064
875,2049,6644
876,8761,727
877,4438,8589
878,9998,429
879,5231,3674
880,5814,9706
881,9811,1374
882,5482,6751
883,7290,5226
884,1267,8911
885,1555,9581
886,3927,3032
887,1874,7859
888,7289,2316
889,2822,3979
890,6838,7998
891,2009,9367
892,2703,9064
893,7355,4494
894,8871,2838
895,2796,130
896,8727,8753
897,6030,3145
898,8622,5734
899,4570,9001
900,6705,837
901,7279,7877
902,8741,8264
903,6780,4716
904,5968,2766
905,7655,3609
906,9504,4061
907,2502,4072
908,6798,3119
909,1725,8059
910,9371,4834
911,3228,6698
912,8200,4782
913,305,3087
914,1257,5449
915,8610,6436
916,7962,1329
917,4570,8424
918,7748,2084
919,5031,6082
920,8919,7534
921,859,6416
922,8751,3378
923,4273,2934
924,5619,2602
925,367,7306
926,3706,7023
927,2285,2199
928,8789,2270
929,2720,9016
930,1257,7858
931,6222,8365
932,9678,8316
933,6381,5725
934,6187,2113
935,1024,9783
936,2494,3463
937,4849,4766
938,3604,8021
939,13,4383
940,6433,5212
941,1196,1872
942,4564,9116
943,1844,7519
944,4219,7948
945,7805,7313
946,2515,9860
947,812,555
948,9168,3331
949,2948,4485
950,5543,6805
951,6222,6594
952,4614,1074
953,9605,3962
954,3395,8517
955,15,3963
956,3093,6444
957,7963,4915
958,3655,3243
959,9217,5283
960,2658,7626
961,2100,8221
962,1965,5479
963,7831,4100
964,2766,6869
965,2442,3957
966,29,1704
967,6898,6412
968,2696,9491
969,2892,634
970,7391,9952
971,1319,2286
972,4933,943
973,4285,4267
974,7685,4143
975,6222,7106
976,5367,990
977,5095,7489
978,4532,2463
979,8773,9560
980,5790,7744
981,5200,1487
982,7668,827
983,8303,1099
984,7355,3009
985,6544,6332
986,4698,5273
987,535,5897
988,7914,8630
989,2049,8540
990,7750,9078
991,107,5163
992,4862,2289
993,9084,858
994,992,9279
995,3679,126
996,1014,792
997,3124,1179
998,6074,7757
999,5183,3160
1000,6781,2349
1001,63,6604
1002,6754,9408
1003,7192,8901
1004,3604,7855
1005,7395,9873
1006,7214,8571
1007,7688,3989
1008,15,7214
1009,257,25
1010,8640,395
1011,4871,5236
1012,4473,970
1013,1458,4137
1014,955,3134
1015,6297,2780
1016,2006,6083
1017,9768,4448
1018,9036,8971
1019,1971,9020
1020,7510,6087
1021,3775,8705
1022,2285,2205
1023,6637,8047
1024,8134,7187
1025,740,7502
1026,5613,6583
1027,8749,9923
1028,4726,2128
1029,8700,2632
1030,5007,2774
1031,6525,5051
1032,2562,3830
1033,9261,6975
1034,5968,7158
1035,8449,5021
1036,2832,6833
1037,7844,8768
1038,528,8971
1039,3680,4055
1040,3515,9251
1041,5735,3650
1042,5888,3624
1043,5371,2131
1044,980,7601
1045,5685,8401
1046,3726,5601
1047,5390,299
1048,5883,3485
1049,7226,5997
1050,457,1026
1051,4549,5396
1052,8471,9181
1053,6400,3992
1054,5132,4122
1055,5571,7153
1056,1725,9078
1057,241,900
1058,6009,5398
1059,6433,6677
1060,3113,1071
1061,4849,5543
1062,1176,2487
1063,8213,8239
1064,7846,3063
1065,5269,4123
1066,1083,8127
1067,4897,5150
1068,552,4498
1069,3579,4390
1070,93,8921
1071,2468,2918
1072,7750,80
1073,7449,3289
1074,6354,5949
1075,2703,2403
1076,6176,7310
1077,8744,2902
1078,3554,6879
1079,8275,972
1080,5775,1655
1081,8802,4982
1082,5459,6979
1083,5759,6668
1084,9998,9599
1085,8761,8956
1086,7793,5137
1087,3961,7943
1088,1199,4544
1089,2049,1827
1090,1257,760
1091,8610,884
1092,9419,1459
1093,1342,2764
1094,2954,946
1095,3066,9495
1096,1419,2825
1097,9742,8787
1098,9992,5140
1099,2285,7480
1100,9521,1059
1101,2796,9811
1102,3754,3963
1103,5215,8827
1104,1686,1002
1105,1120,3670
1106,1159,1106
1107,1207,6310
1108,3134,2943
1109,2757,4598
1110,9419,5688
1111,7228,3068
1112,9099,697
1113,9074,47
1114,1325,7374
1115,6222,787
1116,1876,7813
1117,1000,5331
1118,4897,4050
1119,1450,9835
1120,3294,7359
1121,7158,3858
1122,2809,1956
1123,1384,7168
1124,1505,5617
1125,63,6641
1126,8200,1929
1127,824,8108
1128,217,4376
1129,7190,2342
1130,980,5351
1131,3366,4588
1132,7607,6404
1133,9050,2206
1134,9922,5202
1135,331,3238
1136,3393,6985
1137,1375,869
1138,8784,6850
1139,8411,3661
1140,2150,2480
1141,8833,2528
1142,1847,1768
1143,8901,7615
1144,2468,1368
1145,5337,8272
1146,1890,5366
1147,1665,5609
1148,5019,3338
1149,1474,2065
1150,9385,6052
1151,9691,2052
1152,6136,8272
1153,8768,854
1154,5654,2168
1155,8995,435
1156,2763,6893
1157,2726,852
1158,4871,5991
1159,4581,7386
1160,2049,7361
1161,9210,2762
1162,5888,6465
1163,951,3064
1164,5895,9292
1165,6662,287
1166,1075,7490
1167,6297,601
1168,3220,8333
1169,1965,2254
1170,1469,5529
1171,4888,963
1172,533,8454
1173,8250,4854
1174,1573,5845
1175,6634,7071
1176,2189,2170
1177,8996,5761
1178,4871,5835
1179,3784,3992
1180,1000,7723
1181,4327,2912
1182,2983,1922
1183,9793,3232
1184,9702,5143
1185,6388,9386
1186,15,4067
1187,1136,9967
1188,5775,8635
1189,5436,6567
1190,5335,4311
1191,6365,1176
1192,9366,2902
1193,7282,3701
1194,9361,123
1195,5757,5271
1196,5154,7564
1197,3554,5608
1198,9366,2359
1199,1518,8910
1200,6388,3253
1201,4439,1318
1202,1144,3555
1203,4871,7494
1204,4218,1821
1205,1940,5774
1206,482,3587
1207,3494,5333
1208,2728,3838
1209,202,6604
1210,2824,8595
1211,3817,3694
1212,7891,3571
1213,8315,8618
1214,9009,7088
1215,6350,1206
1216,9707,4567
1217,8930,9572
1218,4388,9077
1219,2509,5450
1220,905,5433
1221,9366,6768
1222,2140,2304
1223,4899,5745
1224,7043,8199
1225,1847,5595
1226,6254,1118
1227,8610,5397
1228,703,9591
1229,2491,9782
1230,8826,8457
1231,4396,2069
1232,2285,4308
1233,1631,6429
1234,2869,490
1235,2445,4382
1236,6765,7628
1237,2285,3311
1238,3579,8860
1239,5935,8405
1240,5048,8408
1241,980,7748
1242,8134,3000
1243,2397,6844
1244,5605,8329
1245,5144,6740
1246,9252,222
1247,1394,4083
1248,6227,2416
1249,4864,8059
1250,1573,874
1251,8328,3429
1252,5632,9183
1253,7917,4261
1254,6845,2239
1255,623,1974
1256,9668,9721
1257,8200,4203
1258,4883,3501
1259,452,4845
1260,7844,9246
1261,7449,4666
1262,5988,2060
1263,8926,7209
1264,9521,6433
1265,9615,9798
1266,3054,9134
1267,5436,3159
1268,2261,1332
1269,4649,8418
1270,8337,3772
1271,7803,7964
1272,9685,7094
1273,8462,8208
1274,6222,844
1275,1184,2074
1276,6371,2420
1277,3027,3547
1278,1965,1263
1279,3142,1274
1280,731,4462
1281,5751,5916
1282,706,8728
1283,6479,5353
1284,6907,9045
1285,9773,6575
1286,7528,7009
1287,9192,4636
1288,8684,2793
1289,746,2312
1290,9139,3075
1291,1359,4647
1292,4463,2802
1293,8913,9206
1294,8781,9670
1295,4832,4789
1296,5632,585
1297,6222,9465
1298,623,4108
1299,5790,4367
1300,1827,7090
1301,4668,3902
1302,2456,9974
1303,5482,6883
1304,1635,2555
1305,520,3835
1306,6286,1549
1307,505,7876
1308,9615,5544
1309,7633,2239
1310,9767,4477
1311,2087,8275
1312,5424,5311
1313,3941,3891
1314,2099,2259
1315,203,800
1316,2750,5677
1317,9140,6329
1318,1159,3137
1319,1191,7944
1320,4322,4551
1321,2931,765
1322,5236,3093
1323,2148,7328
1324,3612,4826
1325,6991,6954
1326,694,3149
1327,4871,2944
1328,4480,3867
1329,1077,7860
1330,6603,3234
1331,8734,8760
1332,6807,7482
1333,9197,9474
1334,7911,9771
1335,9615,7901
1336,7410,6340
1337,7077,3899
1338,7701,6845
1339,4355,1945
1340,1494,3425
1341,3863,1898
1342,496,4149
1343,8634,3956
1344,8768,165
1345,3932,3375
1346,5133,3456
1347,6284,9817
1348,1076,6551
1349,6100,8847
1350,7769,9177
1351,2909,3365
1352,6419,5879
1353,4920,9780
1354,15,1776
1355,5005,5487
1356,9521,7413
1357,798,2863
1358,4837,8036
1359,9718,936
1360,7282,6179
1361,4427,2725
1362,3129,878
1363,2364,628
1364,2313,5195
1365,2007,9063
1366,6229,5732
1367,9139,647
1368,9419,9484
1369,2824,8168
1370,2018,2148
1371,7132,3651
1372,7191,1042
1373,8624,3856
1374,3548,8900
1375,8367,8278
1376,2052,4234
1377,7192,1042
1378,5673,3099
1379,9605,1539
1380,1688,5089
1381,1562,4084
1382,7650,3359
1383,3734,347
1384,86,3699
1385,63,6365
1386,1372,5282
1387,6197,561
1388,6404,8288
1389,3946,1172
1390,5396,6751
1391,552,9457
1392,2204,8003
1393,331,7489
1394,9788,3866
1395,936,2828
1396,2439,4104
1397,7793,5485
1398,7793,5772
1399,8962,1314
1400,7732,6158
1401,2868,5035
1402,8919,4394
1403,3746,4881
1404,1837,3847
1405,8276,8466
1406,6420,6223
1407,9196,2562
1408,2025,6632
1409,4306,9670
1410,8721,4160
1411,177,8452
1412,5709,3642
1413,1769,9022
1414,8132,3340
1415,7227,5791
1416,6567,5615
1417,861,3177
1418,7645,3272
1419,1970,5627
1420,2049,5318
1421,8610,5057
1422,9605,8137
1423,5424,6402
1424,4074,8135
1425,2285,5215
1426,3017,3352
1427,501,7641
1428,6089,639
1429,4241,2846
1430,3969,1765
1431,5963,2465
1432,6987,8810
1433,9521,646
1434,1257,9237
1435,7119,3622
1436,6668,7529
1437,1394,9461
1438,5424,4265
1439,2796,9352
1440,845,9818
1441,5492,7035
1442,799,4941
1443,4831,8284
1444,1518,8091
1445,7601,5151
1446,8595,5956
1447,1024,5457
1448,486,8580
1449,6973,4075
1450,2915,4651
1451,7425,82
1452,9917,5053
1453,1113,1319
1454,8752,1061
1455,7226,3118
1456,331,8748
1457,9655,6894
1458,3533,4974
1459,3052,944
1460,4105,4065
1461,1202,7022
1462,980,4383
1463,5424,2695
1464,2502,7767
1465,3414,9477
1466,2219,2202
1467,8015,7586
1468,7919,4377
1469,9988,3842
1470,5830,4285
1471,8095,2318
1472,2737,4684
1473,4198,8318
1474,2588,6987
1475,761,3209
1476,9177,907
1477,598,7206
1478,4088,7260
1479,6089,9053
1480,5691,4441
1481,9787,7707
1482,590,9004
1483,2629,8095
1484,2044,7265
1485,6940,2074
1486,3245,9488
1487,505,6082
1488,6559,809
1489,9713,2417
1490,5399,7620
1491,107,7113
1492,395,8370
1493,8086,7592
1494,2768,8664
1495,4712,9857
1496,4633,644
1497,3284,842
1498,1495,4903
1499,2909,8200
1500,5839,7940
1501,9900,8693
1502,7278,8661
1503,8534,9002
1504,3528,4870
1505,4160,4828
1506,324,910
1507,5671,1138
1508,955,9458
1509,1895,2105
1510,3305,973
1511,2688,3130
1512,8629,7122
1513,4404,1684
1514,6360,4616
1515,7290,1894
1516,43,5321
1517,9155,8276
1518,5436,2789
1519,509,3126
1520,6388,8691
1521,5137,8756
1522,8037,2512
1523,1649,5610
1524,9655,4752
1525,6901,2979
1526,2854,9068
1527,606,1184
1528,5019,7184
1529,1186,1114
1530,947,7761
1531,9718,9502
1532,2869,726
1533,7945,243
1534,162,8710
1535,2796,9822
1536,4929,2758
1537,6436,2278
1538,3342,9317
1539,394,2096
1540,2468,7769
1541,8214,5785
1542,7673,1408
1543,8427,3720
1544,1336,5305
1545,4505,4905
1546,8251,9421
1547,2049,2931
1548,4699,3775
1549,9032,3640
1550,3100,7901
1551,6363,1884
1552,1394,9819
1553,5093,6756
1554,9393,7916
1555,1810,9323
1556,9313,32
1557,5098,1973
1558,730,4434
1559,7844,175
1560,7391,5597
1561,15,2502
1562,1082,4591
1563,1859,5519
1564,7231,9439
1565,5613,9932
1566,5064,9439
1567,2807,1114
1568,6031,7684
1569,1583,6787
1570,4132,708
1571,2702,1924
1572,9139,4044
1573,5830,8666
1574,6085,8733
1575,6807,9679
1576,4496,4836
1577,829,1052
1578,9767,6565
1579,8161,5138
1580,4421,956
1581,941,9355
1582,6943,6601
1583,9076,8926
1584,8913,4746
1585,8084,781
1586,4656,5537
1587,6853,5869
1588,2371,1901
1589,3204,55
1590,3567,2586
1591,908,4508
1592,6106,8223
1593,52,864
1594,4442,3825
1595,510,7848
1596,7510,9761
1597,9946,972
1598,8102,6510
1599,3341,5448
1600,268,5473
1601,469,9224
1602,6363,8183
1603,1197,2343
1604,2285,6036
1605,5083,7015
1606,3563,1344
1607,8808,4070
1608,2049,1252
1609,1870,4510
1610,3716,6397
1611,1186,6516
1612,9366,4416
1613,6241,6256
1614,6556,3406
1615,9792,6437
1616,3746,1037
1617,7294,4427
1618,3941,9166
1619,9751,3068
1620,3832,6827
1621,362,2174
1622,4549,9818
1623,2948,2304
1624,5571,3107
1625,1823,4509
1626,9811,5842
1627,8625,2660
1628,9649,8372
1629,5365,5624
1630,6778,150
1631,9654,2034
1632,15,8424
1633,3220,8884
1634,2650,8033
1635,3454,7594
1636,63,5890
1637,1156,1784
1638,1874,5376
1639,2344,4347
1640,2494,2308
1641,8429,5896
1642,5074,1430
1643,5026,571
1644,382,18
1645,6743,6624
1646,8838,6166
1647,1665,6807
1648,7793,1228
1649,2633,1412
1650,5215,3135
1651,4596,8495
1652,6172,1948
1653,9031,8906
1654,7294,8923
1655,440,941
1656,1145,7647
1657,5691,4943
1658,6222,4657
1659,2402,7426
1660,6036,1495
1661,6726,2519
1662,6668,4326
1663,8180,8004
1664,6450,876
1665,7793,5286
1666,4361,3289
1667,8878,5859
1668,8684,5893
1669,6657,7957
1670,3504,3894
1671,1158,279
1672,4336,6539
1673,2189,9003
1674,6384,5298
1675,2550,7973
1676,1781,5588
1677,3494,449
1678,4108,1003
1679,1688,2469
1680,7703,21
1681,3215,7624
1682,3598,1687
1683,8684,607
1684,9105,8210
1685,2292,5733
1686,6389,5162
1687,5954,4373
1688,9661,1434
1689,9383,8952
1690,8749,269
1691,7966,6769
1692,4733,7878
1693,5072,9092
1694,5165,221
1695,9210,3311
1696,3934,2793
1697,9645,1178
1698,4113,8229
1699,6187,610
1700,5165,5182
1701,7119,2393
1702,5123,3156
1703,6009,7193
1704,6384,7504
