clique_id,atoms,bonds,clique_features
993,1581;1582,1581:1582;1582:1581,1
994,1585;1586,1585:1586;1586:1585,1
995,1579,,3
996,1592;1593;1594;1601;1602,1592:1593;1592:1602;1593:1592;1593:1594;1594:1593;1594:1601;1601:1594;1601:1602;1602:1592;1602:1601,0
997,1595;1596;1597;1598;1599;1600,1595:1596;1595:1600;1596:1595;1596:1597;1597:1596;1597:1598;1598:1597;1598:1599;1599:1598;1599:1600;1600:1595;1600:1599,0
998,1606;1607;1608;1609;1613;1614,1606:1607;1606:1614;1607:1606;1607:1608;1608:1607;1608:1609;1609:1608;1609:1613;1613:1609;1613:1614;1614:1606;1614:1613,0
999,1609;1610;1611;1612;1613,1609:1610;1609:1613;1610:1609;1610:1611;1611:1610;1611:1612;1612:1611;1612:1613;1613:1609;1613:1612,0
1000,1589;1590,1589:1590;1590:1589,1
1001,1590;1591,1590:1591;1591:1590,1
1002,1590;1603,1590:1603;1603:1590,1
1003,1591;1592,1591:1592;1592:1591,1
1004,1594;1595,1594:1595;1595:1594,1
1005,1603;1604,1603:1604;1604:1603,1
1006,1603;1605,1603:1605;1605:1603,1
1007,1605;1606,1605:1606;1606:1605,1
1008,1590,,3
1009,1603,,3
1010,1618;1619;1620;1621;1625,1618:1619;1618:1625;1619:1618;1619:1620;1620:1619;1620:1621;1621:1620;1621:1625;1625:1618;1625:1621,0
1011,1622;1623;1624,1622:1623;1622:1624;1623:1622;1623:1624;1624:1622;1624:1623,0
1012,1627;1628;1629;1630;1631;1633,1627:1628;1627:1633;1628:1627;1628:1629;1629:1628;1629:1630;1630:1629;1630:1631;1631:1630;1631:1633;1633:1627;1633:1631,0
1013,1615;1616,1615:1616;1616:1615,1
1014,1616;1617,1616:1617;1617:1616,1
1015,1616;1626,1616:1626;1626:1616,1
1016,1617;1618,1617:1618;1618:1617,1
1017,1621;1622,1621:1622;1622:1621,1
1018,1626;1627,1626:1627;1627:1626,1
1019,1631;1632,1631:1632;1632:1631,1
1020,1616,,3
1021,1635;1636;1637;1638;1639;1640,1635:1636;1635:1640;1636:1635;1636:1637;1637:1636;1637:1638;1638:1637;1638:1639;1639:1638;1639:1640;1640:1635;1640:1639,0
1022,1641;1642;1643;1644;1646,1641:1642;1641:1646;1642:1641;1642:1643;1643:1642;1643:1644;1644:1643;1644:1646;1646:1641;1646:1644,0
1023,1649;1650;1651;1652;1653;1655,1649:1650;1649:1655;1650:1649;1650:1651;1651:1650;1651:1652;1652:1651;1652:1653;1653:1652;1653:1655;1655:1649;1655:1653,0
1024,1634;1635,1634:1635;1635:1634,1
1025,1640;1641,1640:1641;1641:1640,1
1026,1644;1645,1644:1645;1645:1644,1
1027,1646;1647,1646:1647;1647:1646,1
1028,1647;1648,1647:1648;1648:1647,1
1029,1648;1649,1648:1649;1649:1648,1
1030,1653;1654,1653:1654;1654:1653,1
1031,1661;1662;1663;1664;1666,1661:1662;1661:1666;1662:1661;1662:1663;1663:1662;1663:1664;1664:1663;1664:1666;1666:1661;1666:1664,0
1032,1667;1668;1669;1674;1675,1667:1668;1667:1675;1668:1667;1668:1669;1669:1668;1669:1674;1674:1669;1674:1675;1675:1667;1675:1674,0
1033,1669;1670;1671;1672;1673;1674,1669:1670;1669:1674;1670:1669;1670:1671;1671:1670;1671:1672;1672:1671;1672:1673;1673:1672;1673:1674;1674:1669;1674:1673,0
1034,1656;1657,1656:1657;1657:1656,1
1035,1657;1658,1657:1658;1658:1657,1
1036,1658;1659,1658:1659;1659:1658,1
1037,1659;1660,1659:1660;1660:1659,1
1038,1660;1661,1660:1661;1661:1660,1
1039,1660;1667,1660:1667;1667:1660,1
1040,1664;1665,1664:1665;1665:1664,1
1041,1660,,3
1042,1678;1679;1680;1681;1682;1683,1678:1679;1678:1683;1679:1678;1679:1680;1680:1679;1680:1681;1681:1680;1681:1682;1682:1681;1682:1683;1683:1678;1683:1682,0
1043,1681;1682;1684;1686;1697;1698,1681:1682;1681:1698;1682:1681;1682:1684;1684:1682;1684:1686;1686:1684;1686:1697;1697:1686;1697:1698;1698:1681;1698:1697,0
1044,1690;1691;1692;1693;1695;1696,1690:1691;1690:1696;1691:1690;1691:1692;1692:1691;1692:1693;1693:1692;1693:1695;1695:1693;1695:1696;1696:1690;1696:1695,0
1045,1703;1704;1705;1707;1708;1709,1703:1704;1703:1709;1704:1703;1704:1705;1705:1704;1705:1707;1707:1705;1707:1708;1708:1707;1708:1709;1709:1703;1709:1708,0
1046,1676;1677,1676:1677;1677:1676,1
1047,1677;1678,1677:1678;1678:1677,1
1048,1684;1685,1684:1685;1685:1684,1
1049,1686;1687,1686:1687;1687:1686,1
1050,1687;1688,1687:1688;1688:1687,1
1051,1687;1689,1687:1689;1689:1687,1
1052,1687;1690,1687:1690;1690:1687,1
1053,1693;1694,1693:1694;1694:1693,1
1054,1698;1699,1698:1699;1699:1698,1
1055,1699;1700,1699:1700;1700:1699,1
1056,1700;1701,1700:1701;1701:1700,1
1057,1700;1702,1700:1702;1702:1700,1
1058,1702;1703,1702:1703;1703:1702,1
1059,1705;1706,1705:1706;1706:1705,1
1060,1709;1710,1709:1710;1710:1709,1
1061,1687,,3
1062,1700,,3
1063,1715;1716;1717;1733;1734,1715:1716;1715:1734;1716:1715;1716:1717;1717:1716;1717:1733;1733:1717;1733:1734;1734:1715;1734:1733,0
1064,1718;1719;1720;1721;1722;1723,1718:1719;1718:1723;1719:1718;1719:1720;1720:1719;1720:1721;1721:1720;1721:1722;1722:1721;1722:1723;1723:1718;1723:1722,0
1065,1728;1729;1730;1731;1732,1728:1729;1728:1732;1729:1728;1729:1730;1730:1729;1730:1731;1731:1730;1731:1732;1732:1728;1732:1731,0
1066,1711;1712,1711:1712;1712:1711,1
1067,1712;1713,1712:1713;1713:1712,1
1068,1713;1714,1713:1714;1714:1713,1
1069,1713;1715,1713:1715;1715:1713,1
1070,1717;1718,1717:1718;1718:1717,1
1071,1723;1724,1723:1724;1724:1723,1
1072,1724;1725,1724:1725;1725:1724,1
1073,1725;1726,1725:1726;1726:1725,1
1074,1725;1727,1725:1727;1727:1725,1
1075,1727;1728,1727:1728;1728:1727,1
1076,1713,,3
1077,1725,,3
1078,1738;1739;1740;1745;1746;1747,1738:1739;1738:1747;1739:1738;1739:1740;1740:1739;1740:1745;1745:1740;1745:1746;1746:1745;1746:1747;1747:1738;1747:1746,0
1079,1740;1741;1742;1743;1744;1745,1740:1741;1740:1745;1741:1740;1741:1742;1742:1741;1742:1743;1743:1742;1743:1744;1744:1743;1744:1745;1745:1740;1745:1744,0
1080,1752;1753;1754;1755;1757;1758,1752:1753;1752:1758;1753:1752;1753:1754;1754:1753;1754:1755;1755:1754;1755:1757;1757:1755;1757:1758;1758:1752;1758:1757,0
1081,1735;1736,1735:1736;1736:1735,1
1082,1736;1737,1736:1737;1737:1736,1
1083,1736;1738,1736:1738;1738:1736,1
1084,1747;1748,1747:1748;1748:1747,1
1085,1748;1749,1748:1749;1749:1748,1
1086,1749;1750,1749:1750;1750:1749,1
1087,1749;1751,1749:1751;1751:1749,1
1088,1751;1752,1751:1752;1752:1751,1
1089,1755;1756,1755:1756;1756:1755,1
1090,1758;1759,1758:1759;1759:1758,1
1091,1736,,3
1092,1749,,3
1093,1762;1763;1764;1765;1766;1783,1762:1763;1762:1783;1763:1762;1763:1764;1764:1763;1764:1765;1765:1764;1765:1766;1766:1765;1766:1783;1783:1762;1783:1766,0
1094,1769;1770;1771;1772;1780;1782,1769:1770;1769:1782;1770:1769;1770:1771;1771:1770;1771:1772;1772:1771;1772:1780;1780:1772;1780:1782;1782:1769;1782:1780,0
1095,1774;1775;1776;1777;1778;1779,1774:1775;1774:1779;1775:1774;1775:1776;1776:1775;1776:1777;1777:1776;1777:1778;1778:1777;1778:1779;1779:1774;1779:1778,0
1096,1760;1761,1760:1761;1761:1760,1
1097,1761;1762,1761:1762;1762:1761,1
1098,1766;1767,1766:1767;1767:1766,1
1099,1767;1768,1767:1768;1768:1767,1
1100,1768;1769,1768:1769;1769:1768,1
1101,1772;1773,1772:1773;1773:1772,1
1102,1773;1774,1773:1774;1774:1773,1
1103,1780;1781,1780:1781;1781:1780,1
1104,1788;1789;1790;1791;1807;1808,1788:1789;1788:1808;1789:1788;1789:1790;1790:1789;1790:1791;1791:1790;1791:1807;1807:1791;1807:1808;1808:1788;1808:1807,0
1105,1799;1800;1801;1802;1803,1799:1800;1799:1803;1800:1799;1800:1801;1801:1800;1801:1802;1802:1801;1802:1803;1803:1799;1803:1802,0
1106,1804;1805;1806,1804:1805;1804:1806;1805:1804;1805:1806;1806:1804;1806:1805,0
1107,1784;1785,1784:1785;1785:1784,1
1108,1785;1786,1785:1786;1786:1785,1
1109,1786;1787,1786:1787;1787:1786,1
1110,1787;1788,1787:1788;1788:1787,1
1111,1791;1792,1791:1792;1792:1791,1
1112,1792;1793,1792:1793;1793:1792,1
1113,1793;1794,1793:1794;1794:1793,1
1114,1793;1795,1793:1795;1795:1793,1
1115,1795;1796,1795:1796;1796:1795,1
1116,1795;1797,1795:1797;1797:1795,1
1117,1797;1798,1797:1798;1798:1797,1
1118,1798;1799,1798:1799;1799:1798,1
1119,1798;1804,1798:1804;1804:1798,1
1120,1793,,3
1121,1795,,3
1122,1798,,3
1123,1813;1814;1815;1816;1824,1813:1814;1813:1824;1814:1813;1814:1815;1815:1814;1815:1816;1816:1815;1816:1824;1824:1813;1824:1816,0
1124,1817;1818;1819;1820;1821;1823,1817:1818;1817:1823;1818:1817;1818:1819;1819:1818;1819:1820;1820:1819;1820:1821;1821:1820;1821:1823;1823:1817;1823:1821,0
1125,1826;1827;1828;1829;1831;1832,1826:1827;1826:1832;1827:1826;1827:1828;1828:1827;1828:1829;1829:1828;1829:1831;1831:1829;1831:1832;1832:1826;1832:1831,0
1126,1809;1810,1809:1810;1810:1809,1
1127,1810;1811,1810:1811;1811:1810,1
1128,1810;1825,1810:1825;1825:1810,1
1129,1811;1812,1811:1812;1812:1811,1
1130,1812;1813,1812:1813;1813:1812,1
1131,1816;1817,1816:1817;1817:1816,1
1132,1821;1822,1821:1822;1822:1821,1
1133,1825;1826,1825:1826;1826:1825,1
1134,1829;1830,1829:1830;1830:1829,1
1135,1832;1833,1832:1833;1833:1832,1
1136,1810,,3
1137,1835;1836;1837;1838;1839;1840,1835:1836;1835:1840;1836:1835;1836:1837;1837:1836;1837:1838;1838:1837;1838:1839;1839:1838;1839:1840;1840:1835;1840:1839,0
1138,1842;1843;1844;1850;1855,1842:1843;1842:1855;1843:1842;1843:1844;1844:1843;1844:1850;1850:1844;1850:1855;1855:1842;1855:1850,0
1139,1850;1851;1852;1853;1854;1855,1850:1851;1850:1855;1851:1850;1851:1852;1852:1851;1852:1853;1853:1852;1853:1854;1854:1853;1854:1855;1855:1850;1855:1854,0
1140,1834;1835,1834:1835;1835:1834,1
1141,1840;1841,1840:1841;1841:1840,1
1142,1841;1842,1841:1842;1842:1841,1
1143,1844;1845,1844:1845;1845:1844,1
1144,1845;1846,1845:1846;1846:1845,1
1145,1846;1847,1846:1847;1847:1846,1
1146,1847;1848,1847:1848;1848:1847,1
1147,1847;1849,1847:1849;1849:1847,1
1148,1847,,3
1149,1865;1866;1867;1868;1872;1873,1865:1866;1865:1873;1866:1865;1866:1867;1867:1866;1867:1868;1868:1867;1868:1872;1872:1868;1872:1873;1873:1865;1873:1872,0
1150,1856;1857,1856:1857;1857:1856,1
1151,1857;1858,1857:1858;1858:1857,1
1152,1857;1862,1857:1862;1862:1857,1
1153,1858;1859,1858:1859;1859:1858,1
1154,1859;1860,1859:1860;1860:1859,1
1155,1859;1861,1859:1861;1861:1859,1
1156,1862;1863,1862:1863;1863:1862,1
1157,1862;1864,1862:1864;1864:1862,1
1158,1862;1865,1862:1865;1865:1862,1
1159,1868;1869,1868:1869;1869:1868,1
1160,1869;1870,1869:1870;1870:1869,1
1161,1869;1871,1869:1871;1871:1869,1
1162,1873;1874,1873:1874;1874:1873,1
1163,1857,,3
1164,1859,,3
1165,1862,,3
1166,1869,,3
