clique_id,atoms,bonds,clique_features
459,718;719;720;721;748;749,718:719;718:749;719:718;719:720;720:719;720:721;721:720;721:748;748:721;748:749;749:718;749:748,0
460,727;728;730;734;744;745,727:728;727:745;728:727;728:730;730:728;730:734;734:730;734:744;744:734;744:745;745:727;745:744,0
461,731;732;733,731:732;731:733;732:731;732:733;733:731;733:732,0
462,739;740;741;742;743,739:740;739:743;740:739;740:741;741:740;741:742;742:741;742:743;743:739;743:742,0
463,726;727;745;746;747,726:727;726:747;727:726;727:745;745:727;745:746;746:745;746:747;747:726;747:746,0
464,717;718,717:718;718:717,1
465,721;722,721:722;722:721,1
466,722;723,722:723;723:722,1
467,723;724,723:724;724:723,1
468,724;725,724:725;725:724,1
469,724;726,724:726;726:724,1
470,728;729,728:729;729:728,1
471,730;731,730:731;731:730,1
472,734;735,734:735;735:734,1
473,734;736,734:736;736:734,1
474,736;737,736:737;737:736,1
475,736;738,736:738;738:736,1
476,738;739,738:739;739:738,1
477,724,,3
478,734,,3
479,736,,3
480,751;752;753;754;771,751:752;751:771;752:751;752:753;753:752;753:754;754:753;754:771;771:751;771:754,0
481,758;759;760;761;769;770,758:759;758:770;759:758;759:760;760:759;760:761;761:760;761:769;769:761;769:770;770:758;770:769,0
482,764;765;766;767;768,764:765;764:768;765:764;765:766;766:765;766:767;767:766;767:768;768:764;768:767,0
483,750;751,750:751;751:750,1
484,754;755,754:755;755:754,1
485,755;756,755:756;756:755,1
486,755;757,755:757;757:755,1
487,755;758,755:758;758:755,1
488,761;762,761:762;762:761,1
489,762;763,762:763;763:762,1
490,762;764,762:764;764:762,1
491,755,,3
492,762,,3
493,773;774;775;776;777;793,773:774;773:793;774:773;774:775;775:774;775:776;776:775;776:777;777:776;777:793;793:773;793:777,0
494,781;782;783;784;785;792,781:782;781:792;782:781;782:783;783:782;783:784;784:783;784:785;785:784;785:792;792:781;792:785,0
495,786;787;788;789;790;791,786:787;786:791;787:786;787:788;788:787;788:789;789:788;789:790;790:789;790:791;791:786;791:790,0
496,772;773,772:773;773:772,1
497,777;778,777:778;778:777,1
498,778;779,778:779;779:778,1
499,778;780,778:780;780:778,1
500,780;781,780:781;781:780,1
501,785;786,785:786;786:785,1
502,778,,3
503,795;796;797;798;800,795:796;795:800;796:795;796:797;797:796;797:798;798:797;798:800;800:795;800:798,0
504,801;802;803;804;806;821,801:802;801:821;802:801;802:803;803:802;803:804;804:803;804:806;806:804;806:821;821:801;821:806,0
505,812;813;814;816;817;819,812:813;812:819;813:812;813:814;814:813;814:816;816:814;816:817;817:816;817:819;819:812;819:817,0
506,794;795,794:795;795:794,1
507,798;799,798:799;799:798,1
508,800;801,800:801;801:800,1
509,804;805,804:805;805:804,1
510,806;807,806:807;807:806,1
511,807;808,807:808;808:807,1
512,807;809,807:809;809:807,1
513,809;810,809:810;810:809,1
514,810;811,810:811;811:810,1
515,811;812,811:812;812:811,1
516,814;815,814:815;815:814,1
517,817;818,817:818;818:817,1
518,819;820,819:820;820:819,1
519,807,,3
520,823;824;825;830;831,823:824;823:831;824:823;824:825;825:824;825:830;830:825;830:831;831:823;831:830,0
521,825;826;827;828;829;830,825:826;825:830;826:825;826:827;827:826;827:828;828:827;828:829;829:828;829:830;830:825;830:829,0
522,840;841;842;843;845;847,840:841;840:847;841:840;841:842;842:841;842:843;843:842;843:845;845:843;845:847;847:840;847:845,0
523,822;823,822:823;823:822,1
524,831;832,831:832;832:831,1
525,832;833,832:833;833:832,1
526,832;834,832:834;834:832,1
527,832;835,832:835;835:832,1
528,835;836,835:836;836:835,1
529,836;837,836:837;837:836,1
530,837;838,837:838;838:837,1
531,838;839,838:839;839:838,1
532,838;840,838:840;840:838,1
533,843;844,843:844;844:843,1
534,845;846,845:846;846:845,1
535,832,,3
536,838,,3
537,858;859;860;861;862,858:859;858:862;859:858;859:860;860:859;860:861;861:860;861:862;862:858;862:861,0
538,863;864;865;866;868;869,863:864;863:869;864:863;864:865;865:864;865:866;866:865;866:868;868:866;868:869;869:863;869:868,0
539,848;849,848:849;849:848,1
540,849;850,849:850;850:849,1
541,850;851,850:851;851:850,1
542,851;852,851:852;852:851,1
543,851;853,851:853;853:851,1
544,853;854,853:854;854:853,1
545,854;855,854:855;855:854,1
546,855;856,855:856;856:855,1
547,855;857,855:857;857:855,1
548,857;858,857:858;858:857,1
549,862;863,862:863;863:862,1
550,866;867,866:867;867:866,1
551,851,,3
552,855,,3
553,876;877;878;879;880;894,876:877;876:894;877:876;877:878;878:877;878:879;879:878;879:880;880:879;880:894;894:876;894:880,0
554,883;884;885;886;887;893,883:884;883:893;884:883;884:885;885:884;885:886;886:885;886:887;887:886;887:893;893:883;893:887,0
555,870;871,870:871;871:870,1
556,871;872,871:872;872:871,1
557,872;873,872:873;873:872,1
558,873;874,873:874;874:873,1
559,873;875,873:875;875:873,1
560,875;876,875:876;876:875,1
561,880;881,880:881;881:880,1
562,881;882,881:882;882:881,1
563,881;883,881:883;883:881,1
564,887;888,887:888;888:887,1
565,888;889,888:889;889:888,1
566,888;890,888:890;890:888,1
567,890;891,890:891;891:890,1
568,891;892,891:892;892:891,1
569,873,,3
570,881,,3
571,888,,3
572,896;897;898;899;900;910,896:897;896:910;897:896;897:898;898:897;898:899;899:898;899:900;900:899;900:910;910:896;910:900,0
573,895;896,895:896;896:895,1
574,900;901,900:901;901:900,1
575,901;902,901:902;902:901,1
576,901;903,901:903;903:901,1
577,903;904,903:904;904:903,1
578,904;905,904:905;905:904,1
579,905;906,905:906;906:905,1
580,906;907,906:907;907:906,1
581,907;908,907:908;908:907,1
582,907;909,907:909;909:907,1
583,910;911,910:911;911:910,1
584,911;912,911:912;912:911,1
585,911;913,911:913;913:911,1
586,901,,3
587,907,,3
588,911,,3
589,916;917;918;920;932;933,916:917;916:933;917:916;917:918;918:917;918:920;920:918;920:932;932:920;932:933;933:916;933:932,0
590,924;925;926;927;930;931,924:925;924:931;925:924;925:926;926:925;926:927;927:926;927:930;930:927;930:931;931:924;931:930,0
591,914;915,914:915;915:914,1
592,915;916,915:916;916:915,1
593,918;919,918:919;919:918,1
594,920;921,920:921;921:920,1
595,921;922,921:922;922:921,1
596,921;923,921:923;923:921,1
597,923;924,923:924;924:923,1
598,927;928,927:928;928:927,1
599,928;929,928:929;929:928,1
600,933;934,933:934;934:933,1
601,934;935,934:935;935:934,1
602,921,,3
